101;67023636
102;67023643
103;67023667
104;67023673
105;67023672
106;67023642
107;67023670
108;67023668
109;67023641
110;67023669
111;67023674
112;67023637
113;67023678
114;67023671
115;67023638
116;67023644
117;67180422
118;67023676
119;67023675
120;67023677
121;67023635
201;67180412
202;67180411
203;67180418
204;67180417
205;67180429
206;67180414
207;67180427
208;67180425
209;67180430
210;67180423
211;67180424
212;67180428
213;67180413
214;67180420
215;67180431
216;67180419
217;67180426
218;67180415
219;67180403
220;67180398
221;67180397
222;67180406
223;67180404
224;67180392
225;67180409
226;67180421
301;67180410
302;67180407
303;67180393
304;67180408
305;67180399
306;67180391
307;67180402
308;67180416
309;67187988
310;67188108
311;67188028
312;67187995
313;67188099
314;67187996
315;67188022
316;67188107
317;67188154
318;67188051
319;67188050
320;67188124
321;67188110
322;67187993
323;67187990
324;67188111
325;67144682
326;67188023
401;67188061
402;67188132
403;67188133
404;67188126
405;67188030
406;67188016
407;67188029
408;67187991
409;67188070
410;67187994
411;67188118
412;67188123
413;67188096
414;67187992
415;67187999
416;67188095
417;67188048
418;67188138
419;67188146
420;67187989
421;67188119
422;67188104
423;67188125
424;67144677
425;67188160
426;67188100
501;67188134
502;67188033
503;67188039
504;67188055
505;67188103
506;67188057
507;67188065
508;67188059
509;67188130
510;67188129
511;67188063
512;67188037
513;67188015
514;67188067
515;67188106
516;67144665
517;67188131
518;67188127
519;67188019
520;67188120
521;67188114
522;67188014
523;67188008
524;67188005
525;67188136
526;67144671
601;67188036
602;67187985
603;67188025
604;67187998
605;67188155
606;67188128
607;67188137
608;67188058
609;67188031
610;67188021
611;67188151
612;67188026
613;67188004
614;67188010
615;67188045
616;67188027
617;67188002
618;67188047
619;67188158
620;67188115
621;67188102
622;67188149
623;67188068
624;67188044
625;67188117
626;67188072
701;67188071
702;67188139
703;67188066
704;67188042
705;67188053
706;67188143
707;67188122
708;67188043
709;67188153
710;67188052
711;67188140
712;67188003
713;67188035
714;67188007
715;67188159
716;67188152
717;67188020
718;67188049
719;67187987
720;67188145
721;67188040
722;67188011
723;67188121
724;67187997
725;67188006
726;67188054
801;67188000
802;67188024
803;67188064
804;67188009
805;67188135
806;67188018
807;67188144
808;67188069
809;67144670
810;67188038
811;67188034
812;67188112
813;67187986
814;67188116
815;67188017
816;67188113
817;67188098
818;67188046
819;67188041
820;67188147
821;67188141
822;67188097
823;67188156
901;67188157
902;67188032
903;67188012
904;67188084
905;67188013
906;67188001
907;67188062
908;67188150
909;67188109
910;67188060
911;67188148
912;67188105
913;67188056
914;67188142
915;67188101
